objid,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,z
587731513158337203,23.941,25.497,21.687,20.038,19.656,5.032
587739609162711177,25.134,26.231,20.553,19.235,18.401,5.292
587732135387857539,25.236,24.42,21.669,19.972,19.993,5.017
588010359622009792,24.901,24.595,23.753,21.282,18.907,5.855
587729387147952343,24.975,24.516,21.51,19.645,19.663,5.132
587730818435645988,26.494,26.295,21.909,19.799,19.601,5.142
587739377237820243,24.116,25.445,21.601,20.151,19.82,5.032
588017979964063938,23.755,23.91,20.993,19.402,19.279,5.005
587729386067067150,24.802,25.072,20.871,19.549,19.427,5.196
588007004694840263,24.727,25.322,21.676,20.199,20.116,5.107
587739720294859460,24.576,25.172,21.902,20.012,19.451,5.338
588007003655897489,23.677,26.468,21.776,19.956,19.515,5.313
587735346961843108,24.651,25.319,21.699,19.971,19.9,5.01
587738575145926987,24.186,25.241,21.1,19.521,19.289,5.026
587734949656593315,24.326,24.502,21.253,19.791,19.465,5.03
587727180613353723,24.259,25.292,21.511,19.507,19.177,5.414
588017571390554361,24.45,24.991,21.453,19.966,19.642,5.134
588017948290646355,26.12,25.75,22.385,20.144,19.473,5.273
587731172232463393,24.539,22.499,20.721,20.503,19.246,5.989
588017949895164126,24.824,25.623,21.206,19.557,19.469,5.015
587739296163102954,23.867,25.175,21.543,20.024,19.754,5.011
587733399188472803,26.832,26.492,21.122,19.484,18.802,5.313
587727226228834556,24.864,25.75,21.342,19.528,19.583,5.01
587736752471016373,25.375,24.774,21.402,19.875,19.572,5.022
587735743692800578,24.681,25.194,21.659,19.299,18.643,5.275
587722982814319198,22.18,25.721,20.692,19.17,19.01,5.032
587732578305114435,23.835,24.831,20.648,19.248,18.881,5.157
588017626155516178,24.51,24.534,21.504,19.872,19.855,5.206
587736808841937196,24.384,25.768,21.21,19.694,19.466,5.037
587738067263619664,25.646,25.402,20.885,19.219,19.221,5.003
587732582054822242,25.456,25.419,21.504,19.783,19.452,5.215
587725818014663379,23.84,24.583,22.137,20.423,20.626,5.122
587733604259594637,24.252,25.868,21.883,19.914,19.879,5.031
587734949658362704,25.301,24.674,21.801,20.13,20.058,5.226
587734622177722600,24.278,25.195,21.106,19.874,19.637,5.038
588017703464468711,25.285,26.079,21.33,19.747,19.253,5.167
